Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
insomnia,shortness of breath,palpitations,muscle pain,skin rash,burning sensation,itching,Typhoid
cough,blood in urine,light sensitivity,palpitations,sneezing,muscle pain,confusion,Heart attack
dizziness,swollen lymph nodes,sore throat,confusion,fever,muscle pain,sneezing,Migraine
chest pain,itching,excessive sweating,cough,blurred vision,dizziness,insomnia,Jaundice
swelling,nausea,confusion,cold sweats,insomnia,excessive sweating,burning sensation,Paralysis (brain hemorrhage)
fatigue,cough,nausea,itching,palpitations,night sweats,headache,Hyperthyroidism
shortness of breath,light sensitivity,muscle pain,diarrhea,numbness,blood in urine,loss of appetite,AIDS
shortness of breath,dizziness,swelling,constipation,abdominal pain,skin rash,excessive sweating,Arthritis
swollen lymph nodes,muscle pain,insomnia,fatigue,vomiting,stomach cramps,swelling,Hypoglycemia
blood in urine,loss of appetite,cough,night sweats,difficulty swallowing,cold sweats,palpitations,Malaria
vomiting,yellowing of skin,confusion,fatigue,body aches,chest pain,muscle pain,Dengue
burning sensation,blurred vision,insomnia,skin rash,blood in urine,diarrhea,palpitations,Alcoholic hepatitis
cold sweats,numbness,blurred vision,diarrhea,weight loss,cough,light sensitivity,Hepatitis D
excessive thirst,difficulty swallowing,headache,sneezing,night sweats,sore throat,back pain,Hepatitis C
swollen lymph nodes,yellowing of skin,confusion,fever,headache,loss of appetite,numbness,Chronic cholestasis
burning sensation,excessive thirst,stomach cramps,yellowing of skin,nausea,vomiting,fatigue,Gastroenteritis
weight loss,vomiting,diarrhea,sneezing,headache,muscle pain,tingling sensation,Allergy
insomnia,difficulty swallowing,chest pain,burning sensation,blurred vision,joint pain,fatigue,Acne
stomach cramps,muscle pain,constipation,loss of appetite,abdominal pain,fever,headache,Psoriasis
weight loss,blood in urine,insomnia,numbness,excessive sweating,fever,excessive thirst,Urinary tract infection
excessive sweating,nausea,chest pain,cough,blurred vision,insomnia,yellowing of skin,Chicken pox
swelling,sore throat,yellowing of skin,abdominal pain,blurred vision,fatigue,shortness of breath,Drug Reaction
insomnia,numbness,palpitations,diarrhea,chills,itching,weight loss,Hepatitis E
joint pain,chest pain,stomach cramps,fever,dizziness,excessive thirst,difficulty swallowing,(vertigo) Paroxysmal Positional Vertigo
burning sensation,sneezing,swollen lymph nodes,numbness,blood in urine,cough,dry mouth,GERD
itching,confusion,shortness of breath,night sweats,diarrhea,blurred vision,dry mouth,Varicose veins
excessive sweating,tingling sensation,confusion,nausea,chills,vomiting,loss of appetite,Osteoarthritis
yellowing of skin,fever,chills,constipation,excessive sweating,sore throat,swelling,Fungal infection
skin rash,stomach cramps,cold sweats,chills,muscle pain,swollen lymph nodes,body aches,Pneumonia
vomiting,cough,excessive thirst,yellowing of skin,back pain,swelling,sneezing,Hepatitis B
joint pain,night sweats,diarrhea,abdominal pain,back pain,palpitations,stomach cramps,Diabetes
excessive sweating,swelling,chills,abdominal pain,night sweats,sore throat,vomiting,Hypertension
confusion,insomnia,weight loss,tingling sensation,burning sensation,skin rash,stomach cramps,Bronchial Asthma
stomach cramps,blurred vision,swollen lymph nodes,muscle pain,palpitations,body aches,dizziness,Dimorphic hemorrhoids (piles)
numbness,headache,itching,loss of appetite,skin rash,dizziness,vomiting,Common Cold
muscle pain,headache,constipation,light sensitivity,fatigue,swelling,night sweats,Peptic ulcer disease
chest pain,stomach cramps,burning sensation,cough,skin rash,abdominal pain,joint pain,Tuberculosis
yellowing of skin,fatigue,weight loss,dizziness,night sweats,headache,light sensitivity,Impetigo
swollen lymph nodes,burning sensation,insomnia,muscle pain,weight loss,cough,loss of appetite,Hypothyroidism
difficulty swallowing,diarrhea,insomnia,palpitations,sneezing,numbness,stomach cramps,Cervical spondylosis
night sweats,joint pain,fever,cold sweats,palpitations,numbness,weight loss,Hepatitis A
