Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Fatigue,Shortness of Breath,Sweating,Loss of Smell,Low Blood Pressure,Skin Redness,Rash,Unknown
Cough,Skin Peeling,Weakness,Confusion,Difficulty Swallowing,Chest Pain,Blurred Vision,Unknown
Loss of Appetite,Shortness of Breath,Skin Redness,Rapid Heart Rate,Cough,Ear Pain,Swollen Lymph Nodes,Ear Infection
Chills,Loss of Taste,Sore Throat,Fever,Difficulty Swallowing,Skin Peeling,Loss of Appetite,Meningitis
Skin Peeling,Headache,Muscle Pain,Loss of Appetite,Loss of Smell,Chest Pain,Dizziness,Scarlet Fever
Swollen Lymph Nodes,Nausea,Cough,Low Blood Pressure,Chest Pain,Shortness of Breath,Sore Throat,Unknown
Cough,Confusion,Dizziness,Sweating,Fatigue,Headache,Swollen Lymph Nodes,Flu
Muscle Pain,Sore Throat,Chest Pain,Loss of Smell,Loss of Taste,Fatigue,High Blood Pressure,Typhoid
Sweating,Joint Pain,Dizziness,Diarrhea,Rash,High Blood Pressure,Abdominal Pain,Unknown
Sore Throat,Muscle Pain,Loss of Smell,Sweating,Rapid Heart Rate,Loss of Appetite,Diarrhea,Cold
Loss of Appetite,Sweating,Runny Nose,Rapid Heart Rate,Loss of Taste,Chills,Ear Pain,Unknown
Diarrhea,Weakness,Rash,High Blood Pressure,Skin Peeling,Muscle Pain,Loss of Appetite,Unknown
Runny Nose,Sweating,Confusion,Headache,Chills,Cough,Fever,Typhoid
High Blood Pressure,Loss of Appetite,Runny Nose,Abdominal Pain,Sweating,Loss of Taste,Confusion,Unknown
Loss of Taste,Sore Throat,Fever,Nausea,Cough,Vomiting,Confusion,Typhoid
Ear Pain,Difficulty Swallowing,Weakness,Confusion,Loss of Smell,Skin Redness,Rash,Unknown
Vomiting,Sweating,Runny Nose,Ear Pain,Headache,Shortness of Breath,Muscle Pain,Flu
Skin Peeling,Confusion,High Blood Pressure,Runny Nose,Weakness,Loss of Appetite,Blurred Vision,Meningitis
Nausea,Rash,Muscle Pain,Loss of Taste,Sweating,Joint Pain,Fatigue,Unknown
High Blood Pressure,Loss of Smell,Ear Pain,Rash,Rapid Heart Rate,Headache,Confusion,Unknown
Diarrhea,Abdominal Pain,Loss of Taste,Muscle Pain,Weakness,High Blood Pressure,Cough,Malaria
Vomiting,Rash,Rapid Heart Rate,Fever,Shortness of Breath,Loss of Taste,High Blood Pressure,Strep Throat
Fatigue,Shortness of Breath,Nausea,Skin Redness,Chills,Low Blood Pressure,Loss of Taste,Flu
Swollen Lymph Nodes,Abdominal Pain,Fever,Weakness,Loss of Appetite,Chest Pain,Loss of Taste,Ear Infection
Runny Nose,Chills,Nausea,Abdominal Pain,Blurred Vision,Loss of Taste,Ear Pain,Unknown
Loss of Appetite,Abdominal Pain,Dizziness,Rash,High Blood Pressure,Joint Pain,Muscle Pain,Hypertension
Sweating,Difficulty Swallowing,Loss of Smell,Blurred Vision,Skin Redness,Confusion,Rash,Unknown
